CMDLINE c:\users\harry\.virtualenvs\asteroids-master-ovjyosp_\scripts\python.exe evolution.py
MEM 124.707031 1545266313.3412
MEM 124.972656 1545266313.4486
MEM 124.972656 1545266313.5547
MEM 124.972656 1545266313.6615
MEM 124.972656 1545266313.7705
MEM 124.972656 1545266313.8793
MEM 124.972656 1545266313.9873
MEM 124.972656 1545266314.0947
MEM 124.972656 1545266314.2016
MEM 124.972656 1545266314.3105
MEM 124.972656 1545266314.4176
MEM 124.972656 1545266314.5269
MEM 124.972656 1545266314.6354
MEM 124.972656 1545266314.7432
MEM 124.976562 1545266314.8508
MEM 124.976562 1545266314.9570
MEM 124.976562 1545266315.0630
MEM 124.976562 1545266315.1694
MEM 124.976562 1545266315.2783
MEM 124.976562 1545266315.3866
MEM 124.976562 1545266315.4912
MEM 124.976562 1545266315.5973
MEM 124.976562 1545266315.7043
MEM 124.976562 1545266315.8127
MEM 124.976562 1545266315.9192
MEM 124.976562 1545266316.0273
MEM 124.976562 1545266316.1363
MEM 124.976562 1545266316.2448
MEM 124.976562 1545266316.3508
MEM 124.976562 1545266316.4599
MEM 124.976562 1545266316.5663
MEM 124.976562 1545266316.6731
MEM 124.976562 1545266316.7789
MEM 124.976562 1545266316.8834
MEM 124.976562 1545266316.9941
MEM 124.976562 1545266317.1030
MEM 124.976562 1545266317.2114
MEM 125.156250 1545266317.3164
MEM 125.238281 1545266317.4194
MEM 125.406250 1545266317.5257
MEM 126.167969 1545266317.6322
MEM 127.179688 1545266317.7399
MEM 127.179688 1545266317.8471
MEM 127.179688 1545266317.9560
MEM 127.179688 1545266318.0626
MEM 127.179688 1545266318.1699
MEM 127.179688 1545266318.2788
MEM 127.179688 1545266318.3897
MEM 127.179688 1545266318.4963
MEM 127.179688 1545266318.6029
MEM 127.179688 1545266318.7090
MEM 127.179688 1545266318.8180
MEM 127.179688 1545266318.9236
MEM 127.179688 1545266319.0330
MEM 127.179688 1545266319.1403
MEM 127.179688 1545266319.2506
MEM 127.179688 1545266319.3611
MEM 127.179688 1545266319.4715
MEM 127.179688 1545266319.5802
MEM 127.179688 1545266319.6869
MEM 127.179688 1545266319.7970
MEM 127.179688 1545266319.9074
MEM 127.179688 1545266320.0177
MEM 127.179688 1545266320.1251
MEM 127.179688 1545266320.2332
MEM 127.179688 1545266320.3442
MEM 127.179688 1545266320.4523
MEM 127.179688 1545266320.5632
MEM 127.179688 1545266320.6692
MEM 127.179688 1545266320.7764
MEM 127.179688 1545266320.8840
MEM 127.179688 1545266320.9914
MEM 127.179688 1545266321.0981
MEM 127.179688 1545266321.2055
MEM 127.179688 1545266321.3143
MEM 127.179688 1545266321.4214
MEM 127.179688 1545266321.5262
MEM 127.179688 1545266321.6328
MEM 127.179688 1545266321.7399
MEM 127.179688 1545266321.8484
MEM 127.179688 1545266321.9564
MEM 127.179688 1545266322.0657
MEM 127.179688 1545266322.1732
MEM 127.179688 1545266322.2828
MEM 127.179688 1545266322.3930
MEM 127.179688 1545266322.5019
MEM 127.179688 1545266322.6116
MEM 127.179688 1545266322.7203
MEM 127.179688 1545266322.8300
MEM 127.179688 1545266322.9409
MEM 127.183594 1545266323.0468
MEM 127.183594 1545266323.1562
MEM 127.183594 1545266323.2619
MEM 127.183594 1545266323.3677
MEM 127.183594 1545266323.4747
MEM 127.183594 1545266323.5814
MEM 127.183594 1545266323.6893
MEM 127.183594 1545266323.7978
MEM 127.183594 1545266323.9055
MEM 127.183594 1545266324.0148
